Countries,AT,CCAMLR,Colonization.Status,InNATO,InBRICS,IndepEstYr,Age,Continent,GDP,GDPperCap,Edu_Per,Mil_Per,Mil_Total,NatResRents,Edu_Total
Afghanistan,Neither,Neither,Colonized,No,No,1919,106,Asia,15824739255,385.5095238,NA,1.593395392,278913871.5,0.367251811,NA
Albania,Neither,Neither,Colonized,Yes,No,1912,113,Europe,19017247014,7756.961887,3.048545003,1.295835703,228693159.6,1.108985542,579749333.5
Algeria,Neither,Neither,Colonized,Partner,No,1962,63,Africa,2.25582E+11,4960.303343,5.610157177,5.886148221,9708277440,18.31232372,12655484831
Andorra,Neither,Neither,Colonized,No,No,1993,32,Europe,3380611695,42425.70665,2.507026101,NA,NA,0,84752817.55
Angola,Neither,Neither,Colonized,No,No,1975,50,Africa,1.00999E+11,2665.874448,2.449047809,1.407255421,993594404.6,25.10755011,2473511758
Antigua and Barbuda,Neither,Neither,Colonized,No,No,1981,44,North America,1866566667,20105.19891,2.757078489,NA,NA,0,51462708.05
Argentina,CP,Member,Neither,No,No,1816,209,South America,6.33994E+11,13962.18941,4.897935152,0.684586409,4177618452,2.041356608,31052603052
Armenia,Neither,Neither,Colonized,Partner,No,1991,34,Asia,19513506553,6571.974455,2.598729968,4.982543724,795201580,4.738102667,507103342.6
Aruba,Neither,Neither,Colonized,No,No,1996,29,South America,3324034443,30975.99891,3.618557556,NA,NA,0.002551661,120282099.5
Australia,CP,Member,Colonizer,Partner,No,1901,124,Oceania,1.69563E+12,64603.98563,5.341090202,1.883788333,32445330432,9.725516969,90564996165
Austria,NonCP,Neither,Colonized,Partner,No,1955,70,Europe,4.80466E+11,53648.6438,5.48071003,0.873515488,4196428571,0.094353137,26332968155
Azerbaijan,Neither,Neither,Colonized,Partner,No,1991,34,Asia,72428470588,7133.02838,3.681220055,4.930517407,2991035294,21.47056468,2666251385
"Bahamas, The",Neither,Neither,Colonized,No,No,1973,52,North America,13896800000,34957.16133,2.895411127,NA,NA,0.016978316,402369493.5
Bahrain,Neither,Neither,Colonized,Partner,No,1971,54,Asia,46192260638,29290.12842,1.86947054,3.519796822,1437500000,13.67208757,863550704.5
Bangladesh,Neither,Neither,Colonized,No,No,1971,54,Asia,4.37415E+11,2551.017738,2.139743517,0.990983394,4214350329,0.585468439,9359566232
Barbados,Neither,Neither,Colonized,No,No,1966,59,North America,6884900000,24387.03873,3.86529994,NA,NA,0.233374573,266122035.6
Belarus,NonCP,Neither,Colonized,No,No,1991,34,Europe,72478760370,7896.753883,4.862639904,1.648693135,1105174741,1.691970359,3524381124
Belgium,CP,Member,Colonizer,Yes,No,1830,195,Europe,5.98522E+11,51658.23829,6.380819798,1.162465513,6890161300,0.036689534,38190637211
Belize,Neither,Neither,Colonized,No,No,1973,52,North America,2846604350,7068.21728,4.622763172,0.992933768,27805037.5,0.500975272,131591777.6
Benin,Neither,Neither,Colonized,No,No,1960,65,Africa,17687623530,1318.651581,3.097095324,0.632087492,110010370.3,2.36620256,547802561.3
Bhutan,Neither,Neither,Colonized,No,No,1907,118,Asia,2833515352,3640.97013,6.221783049,NA,NA,2.762643405,176295177.9
Bolivia,Neither,Neither,Neither,No,No,1825,200,South America,50959081954,4219.461137,7.893819809,1.325799438,536247233.2,6.094036997,4022618106
Bosnia and Herzegovina,Neither,Neither,Neither,Partner,No,1992,33,Europe,24534663636,7655.59421,3.132594575,0.752028731,197332515.8,0.797323779,768571542
Botswana,Neither,Neither,Colonized,No,No,1966,59,Africa,19402063513,7807.887946,8.05833661,2.833928006,512727689.1,0.856788416,1563483587
Brazil,CP,Member,Neither,No,Yes,1822,203,South America,1.95192E+12,9281.332821,5.619209766,1.052400838,20542063567,5.58549428,1.09683E+11
Brunei Darussalam,Neither,Neither,Colonized,No,No,1984,41,Asia,15095084656,32890.54918,NA,3.236367482,448911490.7,19.01623426,NA
Bulgaria,CP,Acceding,Colonized,Yes,No,1908,117,Europe,90506153294,13999.19495,4.50109005,1.587075004,1436901370,0.768340152,4073763460
Burkina Faso,Neither,Neither,Colonized,No,No,1960,65,Africa,19697516284,873.4825897,5.2718505,2.981615669,562583349.2,14.65661416,1038423611
Burundi,Neither,Neither,Colonized,No,No,1962,63,Africa,3430949250,255.8324539,5.096363404,2.598580914,101434221.2,13.90229307,174853642
Cabo Verde,Neither,Neither,Colonized,No,No,1975,50,Africa,2247003344,4323.31362,5.440079255,0.566494135,11279268.1,14.62026107,122238762.8
Cambodia,Neither,Neither,Colonized,No,No,1953,72,Asia,39994532960,2325.0305,2.071619876,1.544897653,630407255,0.887320696,828534694.1
Cameroon,Neither,Neither,Colonized,No,No,1961,64,Africa,45011937347,1672.326573,2.844191932,0.964407323,443336832,4.934002685,1280225890
Canada,NonCP,Acceding,Colonizer,Yes,No,1867,158,North America,2.17334E+12,54220.3285,4.844260216,1.254200814,25567943876,3.09543728,1.05282E+11
Central African Republic,Neither,Neither,Colonized,No,No,1960,65,Africa,2516498412,492.2631428,1.993804106,2.149248439,55515012.1,10.07276231,50174048.68
Chad,Neither,Neither,Colonized,No,No,1960,65,Africa,17828508290,949.3334537,2.670607897,2.117589829,331746766,17.63801072,476129550.3
Channel Islands,Neither,Neither,Neither,No,No,1204,821,Europe,11232906308,67271.26906,NA,NA,NA,NA,NA
