"Countries","AT","CCAMLR","Colonization.Status","InNATO","IndepEstYr","Age","Continent","GDP","GDPperCap","Edu_Per","Mil_Per","Mil_Total","NatResRents","Edu_Total"
"Afghanistan","Neither","Neither","Colonized","No",1919,106,"Asia",15824739254.5026,385.509523751723,NA,1.59339539180315,278913871.47006,0.367251810644828,NA
"Albania","Neither","Neither","Colonized","Yes",1912,113,"Europe",19017247013.8821,7756.96188744253,3.04854500293732,1.29583570269739,228693159.623738,1.10898554226817,579749333.537948
"Algeria","Neither","Neither","Colonized","Partner",1962,63,"Africa",225581644702.568,4960.30334332888,5.61015717726636,5.88614822110901,9708277440.22726,18.3123237207713,12655484830.8766
"Andorra","Neither","Neither","Colonized","No",1993,32,"Europe",3380611694.73392,42425.7066454357,2.50702610078383,NA,NA,0,84752817.55313
"Angola","Neither","Neither","Colonized","No",1975,50,"Africa",100998916781.079,2665.87444776753,2.44904780866209,1.40725542077164,993594404.625879,25.1075501140549,2473511758.19946
"Antigua and Barbuda","Neither","Neither","Colonized","No",1981,44,"North America",1866566666.66667,20105.1989085164,2.75707848903753,NA,NA,0,51462708.0502115
"Argentina","CP","Member","Neither","No",1816,209,"South America",633993756301.08,13962.1894087223,4.89793515205383,0.684586409291956,4177618452.20522,2.04135660756737,31052603051.6971
"Armenia","Neither","Neither","Colonized","Partner",1991,34,"Asia",19513506553.1251,6571.97445545099,2.59872996807098,4.98254372367497,795201580.049707,4.7381026671642,507103342.617556
"Aruba","Neither","Neither","Colonized","No",1996,29,"South America",3324034443.26581,30975.9989121779,3.61855755636695,NA,NA,0.0025516607969536,120282099.523035
"Australia","CP","Member","Colonizer","Partner",1901,124,"Oceania",1695627535475.8,64603.9856308464,5.34109020233154,1.8837883329175,32445330432.014,9.72551696941733,90564996165.3337
"Austria","NonCP","Neither","Colonized","Partner",1955,70,"Europe",480466363176.806,53648.6437976214,5.48071002960205,0.873515488270759,4196428571.42857,0.0943531369319455,26332968155.4954
"Azerbaijan","Neither","Neither","Colonized","Partner",1991,34,"Asia",72428470588.2353,7133.02838048328,3.68122005462646,4.93051740712765,2991035294.11765,21.470564675594,2666251384.55335
"Bahamas, The","Neither","Neither","Colonized","No",1973,52,"North America",13896800000,34957.1613279737,2.89541112728221,NA,NA,0.016978315625579,402369493.536153
"Bahrain","Neither","Neither","Colonized","Partner",1971,54,"Asia",46192260638.2979,29290.1284215098,1.86947054014456,3.51979682208909,1437500000,13.6720875665083,863550704.459768
"Bangladesh","Neither","Neither","Neither","No",1971,54,"Asia",437415333018.291,2551.01773827307,2.13974351741877,0.990983394484057,4214350329.15342,0.585468438505075,9359566232.4546
"Barbados","Neither","Neither","Colonized","No",1966,59,"North America",6884900000,24387.0387293761,3.86529994010925,NA,NA,0.233374572783446,266122035.576582
"Belarus","NonCP","Neither","Colonized","No",1991,34,"Europe",72478760370.4258,7896.75388295584,4.86263990402222,1.64869313490861,1105174741.30497,1.69197035938706,3524381123.71297
"Belgium","CP","Member","Colonizer","Yes",1830,195,"Europe",598522422241.851,51658.238294958,6.38081979751587,1.16246551287247,6890161299.82246,0.036689533563271,38190637210.9796
"Belize","Neither","Neither","Colonized","No",1973,52,"North America",2846604350,7068.21728043145,4.62276317232973,0.992933768484191,27805037.5,0.500975271576396,131591777.553736
"Benin","Neither","Neither","Colonized","No",1960,65,"Africa",17687623530.3355,1318.65158075198,3.09709532436715,0.632087491743063,110010370.317322,2.36620256038614,547802561.349685
"Bhutan","Neither","Neither","Colonized","No",1907,118,"Asia",2833515351.9339,3640.97012981232,6.22178304943213,NA,NA,2.76264340499156,176295177.86968
"Bolivia","Neither","Neither","Neither","No",1825,200,"South America",50959081953.6903,4219.46113742445,7.89381980895996,1.32579943750687,536247233.213096,6.09403699668142,4022618105.72455
"Bosnia and Herzegovina","Neither","Neither","Neither","Partner",1992,33,"Europe",24534663636.1778,7655.59421024383,3.13259457484451,0.752028730749218,197332515.798312,0.797323778951834,768571542.023255
"Botswana","Neither","Neither","Colonized","No",1966,59,"Africa",19402063512.9066,7807.88794570471,8.05833660991541,2.83392800595041,512727689.054822,0.856788416308345,1563483587.13959
"Brazil","CP","Member","Neither","No",1822,203,"South America",1951923832083.87,9281.33282136864,5.61920976638794,1.05240083845945,20542063567.3716,5.58549427988314,109682694604.911
"Brunei Darussalam","Neither","Neither","Colonized","No",1984,41,"Asia",15095084656.1634,32890.5491812019,NA,3.23636748209722,448911490.729443,19.0162342588727,NA
"Bulgaria","CP","Acceding","Colonized","Yes",1908,117,"Europe",90506153293.6733,13999.1949530956,4.50109004974365,1.58707500372134,1436901369.51973,0.768340151742101,4073763460.30726
"Burkina Faso","Neither","Neither","Colonized","No",1960,65,"Africa",19697516284.3787,873.482589651003,5.27185050008134,2.98161566942536,562583349.170273,14.6566141574599,1038423610.74162
